timestamp,sensor_id,value,unit
2025-06-04T00:33:30.118792,PressureSensor,1037.7797838508613,hPa
2025-06-04T00:33:30.118803,HumiditySensor,77.24590170799405,%
2025-06-04T00:33:30.118808,AirQualitySensor,324.94231010490546,AQI
2025-06-04T00:33:30.118810,TemperatureSensor,-18.38,°C
2025-06-04T00:33:31.119088,PressureSensor,972.3040841484699,hPa
2025-06-04T00:33:31.119106,PressureSensor,972.3040841484699,hPa
2025-06-04T00:33:31.119112,HumiditySensor,43.08596025231256,%
2025-06-04T00:33:31.119115,HumiditySensor,43.08596025231256,%
2025-06-04T00:33:31.119120,AirQualitySensor,181.3053517218744,AQI
2025-06-04T00:33:31.119123,AirQualitySensor,181.3053517218744,AQI
2025-06-04T00:33:31.119126,TemperatureSensor,-19.07,°C
2025-06-04T00:33:31.119126,TemperatureSensor,-19.07,°C
2025-06-04T00:33:32.120257,PressureSensor,966.7252796429308,hPa
2025-06-04T00:33:32.120307,PressureSensor,966.7252796429308,hPa
2025-06-04T00:33:32.120310,PressureSensor,966.7252796429308,hPa
2025-06-04T00:33:32.120316,HumiditySensor,36.23079661654045,%
2025-06-04T00:33:32.120320,HumiditySensor,36.23079661654045,%
2025-06-04T00:33:32.120323,HumiditySensor,36.23079661654045,%
2025-06-04T00:33:32.120328,AirQualitySensor,205.91871230320297,AQI
2025-06-04T00:33:32.120330,AirQualitySensor,205.91871230320297,AQI
2025-06-04T00:33:32.120331,AirQualitySensor,205.91871230320297,AQI
2025-06-04T00:33:32.120335,TemperatureSensor,-18.73,°C
2025-06-04T00:33:32.120335,TemperatureSensor,-18.73,°C
2025-06-04T00:33:32.120335,TemperatureSensor,-18.73,°C
2025-06-04T00:33:33.120828,PressureSensor,959.1327983360212,hPa
2025-06-04T00:33:33.120853,PressureSensor,959.1327983360212,hPa
2025-06-04T00:33:33.120856,PressureSensor,959.1327983360212,hPa
2025-06-04T00:33:33.120859,PressureSensor,959.1327983360212,hPa
2025-06-04T00:33:33.120870,HumiditySensor,90.47615343152279,%
2025-06-04T00:33:33.120872,HumiditySensor,90.47615343152279,%
2025-06-04T00:33:33.120874,HumiditySensor,90.47615343152279,%
2025-06-04T00:33:33.120876,HumiditySensor,90.47615343152279,%
2025-06-04T00:33:33.120880,AirQualitySensor,244.1595650719088,AQI
2025-06-04T00:33:33.120882,AirQualitySensor,244.1595650719088,AQI
2025-06-04T00:33:33.120883,AirQualitySensor,244.1595650719088,AQI
2025-06-04T00:33:33.120885,AirQualitySensor,244.1595650719088,AQI
2025-06-04T00:33:33.120888,TemperatureSensor,-18.06,°C
2025-06-04T00:33:33.120888,TemperatureSensor,-18.06,°C
2025-06-04T00:33:33.120888,TemperatureSensor,-18.06,°C
2025-06-04T00:33:33.120888,TemperatureSensor,-18.06,°C
2025-06-04T00:33:34.121166,PressureSensor,1028.4692271012198,hPa
